Week,Match_Order_in_Week,Date,Start Time,End Time,Team A,Team B
17,1,19-10-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),Procure FC (Carnage)
17,2,19-10-2025,06:40 PM IST,07:20 PM IST,Propex FC (Galacticos),Kanhaiya's Physio FC (Beast)
17,3,19-10-2025,07:20 PM IST,08:00 PM IST,Sarthak Singapore FC (Silverbacks),BKFC
17,4,19-10-2025,08:00 PM IST,08:40 PM IST,Sapphire Seven,Cell Kraft FC (Riza)
17,5,19-10-2025,08:40 PM IST,09:20 PM IST,Reckon FC (FUTURE),H&H Boyz
17,6,19-10-2025,09:20 PM IST,10:00 PM IST,Sarco FC (LUFC),Bon Bon FC (Supa)
18,1,26-10-2025,06:00 PM IST,06:40 PM IST,Propex FC (Galacticos),Cell Kraft FC (Riza)
18,2,26-10-2025,06:40 PM IST,07:20 PM IST,Sapphire Seven,BKFC
18,3,26-10-2025,07:20 PM IST,08:00 PM IST,Procure FC (Carnage),H&H Boyz
18,4,26-10-2025,08:00 PM IST,08:40 PM IST,Ektarfa FC (TeamSkeet),Kanhaiya's Physio FC (Beast)
18,5,26-10-2025,08:40 PM IST,09:20 PM IST,Reckon FC (FUTURE),Bon Bon FC (Supa)
18,6,26-10-2025,09:20 PM IST,10:00 PM IST,Sarco FC (LUFC),Sarthak Singapore FC (Silverbacks)
19,1,02-11-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),H&H Boyz
19,2,02-11-2025,06:40 PM IST,07:20 PM IST,Reckon FC (FUTURE),Sarthak Singapore FC (Silverbacks)
19,3,02-11-2025,07:20 PM IST,08:00 PM IST,Kanhaiya's Physio FC (Beast),Cell Kraft FC (Riza)
19,4,02-11-2025,08:00 PM IST,08:40 PM IST,Propex FC (Galacticos),BKFC
19,5,02-11-2025,08:40 PM IST,09:20 PM IST,Procure FC (Carnage),Bon Bon FC (Supa)
19,6,02-11-2025,09:20 PM IST,10:00 PM IST,Sapphire Seven,Sarco FC (LUFC)
20,1,09-11-2025,06:00 PM IST,06:40 PM IST,H&H Boyz,Bon Bon FC (Supa)
20,2,09-11-2025,06:40 PM IST,07:20 PM IST,Reckon FC (FUTURE),Sapphire Seven
20,3,09-11-2025,07:20 PM IST,08:00 PM IST,Procure FC (Carnage),Sarthak Singapore FC (Silverbacks)
20,4,09-11-2025,08:00 PM IST,08:40 PM IST,Ektarfa FC (TeamSkeet),Cell Kraft FC (Riza)
20,5,09-11-2025,08:40 PM IST,09:20 PM IST,Propex FC (Galacticos),Sarco FC (LUFC)
20,6,09-11-2025,09:20 PM IST,10:00 PM IST,Kanhaiya's Physio FC (Beast),BKFC
21,1,16-11-2025,06:00 PM IST,06:40 PM IST,Ektarfa FC (TeamSkeet),Bon Bon FC (Supa)
21,2,16-11-2025,06:40 PM IST,07:20 PM IST,Cell Kraft FC (Riza),BKFC
21,3,16-11-2025,07:20 PM IST,08:00 PM IST,Propex FC (Galacticos),Reckon FC (FUTURE)
21,4,16-11-2025,08:00 PM IST,08:40 PM IST,Procure FC (Carnage),Sapphire Seven
21,5,16-11-2025,08:40 PM IST,09:20 PM IST,H&H Boyz,Sarthak Singapore FC (Silverbacks)
21,6,16-11-2025,09:20 PM IST,10:00 PM IST,Kanhaiya's Physio FC (Beast),Sarco FC (LUFC)
22,1,23-11-2025,06:00 PM IST,06:40 PM IST,H&H Boyz,Sapphire Seven
22,2,23-11-2025,06:40 PM IST,07:20 PM IST,Bon Bon FC (Supa),Sarthak Singapore FC (Silverbacks)
22,3,23-11-2025,07:20 PM IST,08:00 PM IST,Cell Kraft FC (Riza),Sarco FC (LUFC)
22,4,23-11-2025,08:00 PM IST,08:40 PM IST,Kanhaiya's Physio FC (Beast),Reckon FC (FUTURE)
22,5,23-11-2025,08:40 PM IST,09:20 PM IST,Procure FC (Carnage),Propex FC (Galacticos)
22,6,23-11-2025,09:20 PM IST,10:00 PM IST,Ektarfa FC (TeamSkeet),BKFC
