"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Albania","Male","63.1","63.14932","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Albania","Male","17.1","17.10085","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Albania","Male","74.2","74.23331","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Albania","Male","66.3","66.33651","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Albania","Male","19.9","19.94106","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Albania","Male","76.1","76.10220","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Albania","Male","68.0","67.99379","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Albania","Male","20.1","20.13324","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Albania","Male","76.3","76.25368","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Albania","Male","68.0","67.99864","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Albania","Male","20.2","20.21802","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Albania","Female","76.9","76.91914","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Albania","Female","67.7","67.68733","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Albania","Female","21.2","21.20580","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Albania","Female","78.3","78.31106","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Albania","Female","68.9","68.85171","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Albania","Female","22.6","22.63415","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Albania","Female","79.7","79.68682","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Albania","Female","70.1","70.12115","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Albania","Female","22.2","22.15170","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Albania","Female","79.9","79.90692","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Albania","Female","70.3","70.25225","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Albania","Female","21.9","21.94139","","","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Albania","Both sexes","73.5","73.54528","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Albania","Both sexes","65.2","65.23516","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Albania","Both sexes","19.0","18.99650","","","","",""
"Life expectancy at birth (years)","Published","2010","Europe","Albania","Both sexes","76.2","76.24688","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Europe","Albania","Both sexes","67.6","67.56772","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Europe","Albania","Both sexes","21.3","21.30705","","","","",""
"Life expectancy at birth (years)","Published","2015","Europe","Albania","Both sexes","77.8","77.84428","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Europe","Albania","Both sexes","69.0","69.02539","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Europe","Albania","Both sexes","21.1","21.12651","","","","",""
"Life expectancy at birth (years)","Published","2019","Europe","Albania","Both sexes","78.0","78.00018","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Europe","Albania","Both sexes","69.1","69.07545","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Europe","Albania","Both sexes","21.0","21.03024","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Male","72.2","72.19550","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Male","63.7","63.69550","","","","",""
